candidate_threshold_atr,market,scope,adjacent_pair,criterion_id,operator,frozen_threshold,unit,observed_value,margin_to_threshold,status
1.0,CN,adjacent_pair,1.0->1.5,adjacent_confirmed_jaccard,>=,0.6,share,0.45098039215686275,-0.14901960784313723,FAIL
1.0,CN,adjacent_pair,1.0->1.5,adjacent_confirmed_retention,>=,0.8,share,0.7931034482758621,-0.006896551724137945,FAIL
1.0,CN,adjacent_pair,1.0->1.5,added_event_rate,<=,0.5,share,0.4888888888888889,0.011111111111111127,PASS
1.0,CN,adjacent_pair,1.0->1.5,disappeared_event_rate,<=,0.5,share,0.20689655172413793,0.2931034482758621,PASS
1.0,CN,adjacent_pair,1.0->1.5,matched_confirmed_event_date_drift_median,<=,5,trading sessions,4,1,PASS
1.0,CN,adjacent_pair,1.0->1.5,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,14.199999999999998,0.8000000000000025,PASS
1.0,CN,adjacent_pair,1.0->1.5,lifecycle_divergence_rate,<=,0.5,share,0.943089430894309,-0.44308943089430897,FAIL
1.0,US,adjacent_pair,1.0->1.5,adjacent_confirmed_jaccard,>=,0.6,share,0.5220588235294118,-0.07794117647058818,FAIL
1.0,US,adjacent_pair,1.0->1.5,adjacent_confirmed_retention,>=,0.8,share,0.922077922077922,0.12207792207792201,PASS
1.0,US,adjacent_pair,1.0->1.5,added_event_rate,<=,0.5,share,0.45384615384615384,0.046153846153846156,PASS
1.0,US,adjacent_pair,1.0->1.5,disappeared_event_rate,<=,0.5,share,0.07792207792207792,0.42207792207792205,PASS
1.0,US,adjacent_pair,1.0->1.5,matched_confirmed_event_date_drift_median,<=,5,trading sessions,6.5,-1.5,FAIL
1.0,US,adjacent_pair,1.0->1.5,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,12.0,3.0,PASS
1.0,US,adjacent_pair,1.0->1.5,lifecycle_divergence_rate,<=,0.5,share,0.880184331797235,-0.380184331797235,FAIL
1.5,CN,adjacent_pair,1.0->1.5,adjacent_confirmed_jaccard,>=,0.6,share,0.45098039215686275,-0.14901960784313723,FAIL
1.5,CN,adjacent_pair,1.0->1.5,adjacent_confirmed_retention,>=,0.8,share,0.7931034482758621,-0.006896551724137945,FAIL
1.5,CN,adjacent_pair,1.0->1.5,added_event_rate,<=,0.5,share,0.4888888888888889,0.011111111111111127,PASS
1.5,CN,adjacent_pair,1.0->1.5,disappeared_event_rate,<=,0.5,share,0.20689655172413793,0.2931034482758621,PASS
1.5,CN,adjacent_pair,1.0->1.5,matched_confirmed_event_date_drift_median,<=,5,trading sessions,4,1,PASS
1.5,CN,adjacent_pair,1.0->1.5,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,14.199999999999998,0.8000000000000025,PASS
1.5,CN,adjacent_pair,1.0->1.5,lifecycle_divergence_rate,<=,0.5,share,0.943089430894309,-0.44308943089430897,FAIL
1.5,CN,adjacent_pair,1.5->2.0,adjacent_confirmed_jaccard,>=,0.6,share,0.664804469273743,0.06480446927374306,PASS
1.5,CN,adjacent_pair,1.5->2.0,adjacent_confirmed_retention,>=,0.8,share,0.8814814814814815,0.08148148148148149,PASS
1.5,CN,adjacent_pair,1.5->2.0,added_event_rate,<=,0.5,share,0.26993865030674846,0.23006134969325154,PASS
1.5,CN,adjacent_pair,1.5->2.0,disappeared_event_rate,<=,0.5,share,0.11851851851851852,0.3814814814814815,PASS
1.5,CN,adjacent_pair,1.5->2.0,matched_confirmed_event_date_drift_median,<=,5,trading sessions,5.5,-0.5,FAIL
1.5,CN,adjacent_pair,1.5->2.0,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,27.900000000000002,-12.900000000000002,FAIL
1.5,CN,adjacent_pair,1.5->2.0,lifecycle_divergence_rate,<=,0.5,share,0.7986798679867987,-0.2986798679867987,FAIL
1.5,US,adjacent_pair,1.0->1.5,adjacent_confirmed_jaccard,>=,0.6,share,0.5220588235294118,-0.07794117647058818,FAIL
1.5,US,adjacent_pair,1.0->1.5,adjacent_confirmed_retention,>=,0.8,share,0.922077922077922,0.12207792207792201,PASS
1.5,US,adjacent_pair,1.0->1.5,added_event_rate,<=,0.5,share,0.45384615384615384,0.046153846153846156,PASS
1.5,US,adjacent_pair,1.0->1.5,disappeared_event_rate,<=,0.5,share,0.07792207792207792,0.42207792207792205,PASS
1.5,US,adjacent_pair,1.0->1.5,matched_confirmed_event_date_drift_median,<=,5,trading sessions,6.5,-1.5,FAIL
1.5,US,adjacent_pair,1.0->1.5,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,12.0,3.0,PASS
1.5,US,adjacent_pair,1.0->1.5,lifecycle_divergence_rate,<=,0.5,share,0.880184331797235,-0.380184331797235,FAIL
1.5,US,adjacent_pair,1.5->2.0,adjacent_confirmed_jaccard,>=,0.6,share,0.6444444444444445,0.04444444444444451,PASS
1.5,US,adjacent_pair,1.5->2.0,adjacent_confirmed_retention,>=,0.8,share,0.8923076923076924,0.09230769230769231,PASS
1.5,US,adjacent_pair,1.5->2.0,added_event_rate,<=,0.5,share,0.30120481927710846,0.19879518072289154,PASS
1.5,US,adjacent_pair,1.5->2.0,disappeared_event_rate,<=,0.5,share,0.1076923076923077,0.3923076923076923,PASS
1.5,US,adjacent_pair,1.5->2.0,matched_confirmed_event_date_drift_median,<=,5,trading sessions,2.5,2.5,PASS
1.5,US,adjacent_pair,1.5->2.0,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,12.400000000000002,2.599999999999998,PASS
1.5,US,adjacent_pair,1.5->2.0,lifecycle_divergence_rate,<=,0.5,share,0.7781569965870307,-0.27815699658703075,FAIL
2.0,CN,adjacent_pair,1.5->2.0,adjacent_confirmed_jaccard,>=,0.6,share,0.664804469273743,0.06480446927374306,PASS
2.0,CN,adjacent_pair,1.5->2.0,adjacent_confirmed_retention,>=,0.8,share,0.8814814814814815,0.08148148148148149,PASS
2.0,CN,adjacent_pair,1.5->2.0,added_event_rate,<=,0.5,share,0.26993865030674846,0.23006134969325154,PASS
2.0,CN,adjacent_pair,1.5->2.0,disappeared_event_rate,<=,0.5,share,0.11851851851851852,0.3814814814814815,PASS
2.0,CN,adjacent_pair,1.5->2.0,matched_confirmed_event_date_drift_median,<=,5,trading sessions,5.5,-0.5,FAIL
2.0,CN,adjacent_pair,1.5->2.0,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,27.900000000000002,-12.900000000000002,FAIL
2.0,CN,adjacent_pair,1.5->2.0,lifecycle_divergence_rate,<=,0.5,share,0.7986798679867987,-0.2986798679867987,FAIL
2.0,CN,adjacent_pair,2.0->2.5,adjacent_confirmed_jaccard,>=,0.6,share,0.7894736842105263,0.18947368421052635,PASS
2.0,CN,adjacent_pair,2.0->2.5,adjacent_confirmed_retention,>=,0.8,share,0.9202453987730062,0.1202453987730061,PASS
2.0,CN,adjacent_pair,2.0->2.5,added_event_rate,<=,0.5,share,0.15254237288135594,0.34745762711864403,PASS
2.0,CN,adjacent_pair,2.0->2.5,disappeared_event_rate,<=,0.5,share,0.07975460122699386,0.42024539877300615,PASS
2.0,CN,adjacent_pair,2.0->2.5,matched_confirmed_event_date_drift_median,<=,5,trading sessions,4.0,1.0,PASS
2.0,CN,adjacent_pair,2.0->2.5,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,5.399999999999999,9.600000000000001,PASS
2.0,CN,adjacent_pair,2.0->2.5,lifecycle_divergence_rate,<=,0.5,share,0.629080118694362,-0.12908011869436198,FAIL
2.0,US,adjacent_pair,1.5->2.0,adjacent_confirmed_jaccard,>=,0.6,share,0.6444444444444445,0.04444444444444451,PASS
2.0,US,adjacent_pair,1.5->2.0,adjacent_confirmed_retention,>=,0.8,share,0.8923076923076924,0.09230769230769231,PASS
2.0,US,adjacent_pair,1.5->2.0,added_event_rate,<=,0.5,share,0.30120481927710846,0.19879518072289154,PASS
2.0,US,adjacent_pair,1.5->2.0,disappeared_event_rate,<=,0.5,share,0.1076923076923077,0.3923076923076923,PASS
2.0,US,adjacent_pair,1.5->2.0,matched_confirmed_event_date_drift_median,<=,5,trading sessions,2.5,2.5,PASS
2.0,US,adjacent_pair,1.5->2.0,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,12.400000000000002,2.599999999999998,PASS
2.0,US,adjacent_pair,1.5->2.0,lifecycle_divergence_rate,<=,0.5,share,0.7781569965870307,-0.27815699658703075,FAIL
2.0,US,adjacent_pair,2.0->2.5,adjacent_confirmed_jaccard,>=,0.6,share,0.7391304347826086,0.13913043478260867,PASS
2.0,US,adjacent_pair,2.0->2.5,adjacent_confirmed_retention,>=,0.8,share,0.9216867469879518,0.12168674698795179,PASS
2.0,US,adjacent_pair,2.0->2.5,added_event_rate,<=,0.5,share,0.211340206185567,0.28865979381443296,PASS
2.0,US,adjacent_pair,2.0->2.5,disappeared_event_rate,<=,0.5,share,0.0783132530120482,0.42168674698795183,PASS
2.0,US,adjacent_pair,2.0->2.5,matched_confirmed_event_date_drift_median,<=,5,trading sessions,4.5,0.5,PASS
2.0,US,adjacent_pair,2.0->2.5,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,11.9,3.0999999999999996,PASS
2.0,US,adjacent_pair,2.0->2.5,lifecycle_divergence_rate,<=,0.5,share,0.792507204610951,-0.29250720461095103,FAIL
2.5,CN,adjacent_pair,2.0->2.5,adjacent_confirmed_jaccard,>=,0.6,share,0.7894736842105263,0.18947368421052635,PASS
2.5,CN,adjacent_pair,2.0->2.5,adjacent_confirmed_retention,>=,0.8,share,0.9202453987730062,0.1202453987730061,PASS
2.5,CN,adjacent_pair,2.0->2.5,added_event_rate,<=,0.5,share,0.15254237288135594,0.34745762711864403,PASS
2.5,CN,adjacent_pair,2.0->2.5,disappeared_event_rate,<=,0.5,share,0.07975460122699386,0.42024539877300615,PASS
2.5,CN,adjacent_pair,2.0->2.5,matched_confirmed_event_date_drift_median,<=,5,trading sessions,4.0,1.0,PASS
2.5,CN,adjacent_pair,2.0->2.5,matched_confirmed_event_date_drift_p90,<=,15,trading sessions,5.399999999999999,9.600000000000001,PASS
