candidate_threshold_atr,market,scope,adjacent_pair,criterion_id,operator,frozen_threshold,unit,observed_value,margin_to_threshold,status
1.0,CN,candidate,,minimum_confirmed_events_per_market_candidate,>=,8,events,87,79,PASS
1.0,CN,candidate,,minimum_event_symbols_per_market_candidate,>=,8,symbols,19,11,PASS
1.0,CN,candidate,,maximum_symbol_confirmed_concentration,<=,0.25,share,0.09195402298850575,0.15804597701149425,PASS
1.0,CN,candidate,,maximum_symbol_confirmed_hhi,<=,0.2,HHI,0.06354868542740125,0.13645131457259876,PASS
1.0,CN,candidate,,zero_confirmed_event_pathology,=,False,boolean,False,,PASS
1.0,US,candidate,,minimum_confirmed_events_per_market_candidate,>=,8,events,77,69,PASS
1.0,US,candidate,,minimum_event_symbols_per_market_candidate,>=,8,symbols,20,12,PASS
1.0,US,candidate,,maximum_symbol_confirmed_concentration,<=,0.25,share,0.11688311688311688,0.13311688311688313,PASS
1.0,US,candidate,,maximum_symbol_confirmed_hhi,<=,0.2,HHI,0.06257378984651712,0.1374262101534829,PASS
1.0,US,candidate,,zero_confirmed_event_pathology,=,False,boolean,False,,PASS
1.5,CN,candidate,,minimum_confirmed_events_per_market_candidate,>=,8,events,135,127,PASS
1.5,CN,candidate,,minimum_event_symbols_per_market_candidate,>=,8,symbols,19,11,PASS
1.5,CN,candidate,,maximum_symbol_confirmed_concentration,<=,0.25,share,0.1037037037037037,0.1462962962962963,PASS
1.5,CN,candidate,,maximum_symbol_confirmed_hhi,<=,0.2,HHI,0.06063100137174211,0.1393689986282579,PASS
1.5,CN,candidate,,zero_confirmed_event_pathology,=,False,boolean,False,,PASS
1.5,US,candidate,,minimum_confirmed_events_per_market_candidate,>=,8,events,130,122,PASS
1.5,US,candidate,,minimum_event_symbols_per_market_candidate,>=,8,symbols,20,12,PASS
1.5,US,candidate,,maximum_symbol_confirmed_concentration,<=,0.25,share,0.08461538461538462,0.16538461538461538,PASS
1.5,US,candidate,,maximum_symbol_confirmed_hhi,<=,0.2,HHI,0.057041420118343206,0.1429585798816568,PASS
1.5,US,candidate,,zero_confirmed_event_pathology,=,False,boolean,False,,PASS
2.0,CN,candidate,,minimum_confirmed_events_per_market_candidate,>=,8,events,163,155,PASS
2.0,CN,candidate,,minimum_event_symbols_per_market_candidate,>=,8,symbols,19,11,PASS
2.0,CN,candidate,,maximum_symbol_confirmed_concentration,<=,0.25,share,0.08588957055214724,0.16411042944785276,PASS
2.0,CN,candidate,,maximum_symbol_confirmed_hhi,<=,0.2,HHI,0.05702134066016787,0.14297865933983214,PASS
2.0,CN,candidate,,zero_confirmed_event_pathology,=,False,boolean,False,,PASS
2.0,US,candidate,,minimum_confirmed_events_per_market_candidate,>=,8,events,166,158,PASS
2.0,US,candidate,,minimum_event_symbols_per_market_candidate,>=,8,symbols,20,12,PASS
2.0,US,candidate,,maximum_symbol_confirmed_concentration,<=,0.25,share,0.0783132530120482,0.1716867469879518,PASS
2.0,US,candidate,,maximum_symbol_confirmed_hhi,<=,0.2,HHI,0.05479750326607634,0.14520249673392366,PASS
2.0,US,candidate,,zero_confirmed_event_pathology,=,False,boolean,False,,PASS
2.5,CN,candidate,,minimum_confirmed_events_per_market_candidate,>=,8,events,177,169,PASS
2.5,CN,candidate,,minimum_event_symbols_per_market_candidate,>=,8,symbols,19,11,PASS
2.5,CN,candidate,,maximum_symbol_confirmed_concentration,<=,0.25,share,0.07909604519774012,0.1709039548022599,PASS
2.5,CN,candidate,,maximum_symbol_confirmed_hhi,<=,0.2,HHI,0.05595454690542309,0.14404545309457692,PASS
2.5,CN,candidate,,zero_confirmed_event_pathology,=,False,boolean,False,,PASS
2.5,US,candidate,,minimum_confirmed_events_per_market_candidate,>=,8,events,194,186,PASS
2.5,US,candidate,,minimum_event_symbols_per_market_candidate,>=,8,symbols,20,12,PASS
2.5,US,candidate,,maximum_symbol_confirmed_concentration,<=,0.25,share,0.07731958762886598,0.17268041237113402,PASS
2.5,US,candidate,,maximum_symbol_confirmed_hhi,<=,0.2,HHI,0.05478796896588373,0.14521203103411628,PASS
2.5,US,candidate,,zero_confirmed_event_pathology,=,False,boolean,False,,PASS
