added_or_disappeared_lifecycles_restored,anchor_divergence_reduction,baseline_anchor_divergent_lineages,counterfactual,downstream_divergence_reduction,intervention_method,labels,lower_tolerance,market,terminal_divergence_remains,terminal_divergence_remains_count,upper_tolerance
0,0,0,A,37,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,CN,False,0,0.04
0,0,0,B,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,CN,False,0,0.04
0,0,0,C,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,CN,False,0,0.04
37,0,0,D,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,CN,False,0,0.04
0,0,0,A,35,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,CN,False,0,0.05
0,0,0,B,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,CN,False,0,0.05
0,0,0,C,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,CN,False,0,0.05
35,0,0,D,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,CN,False,0,0.05
0,0,0,A,76,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,POOLED,False,0,0.04
0,0,0,B,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,POOLED,False,0,0.04
0,0,0,C,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,POOLED,False,0,0.04
76,0,0,D,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,POOLED,False,0,0.04
0,0,0,A,69,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,POOLED,False,0,0.05
0,0,0,B,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,POOLED,False,0,0.05
0,0,0,C,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,POOLED,False,0,0.05
69,0,0,D,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,POOLED,False,0,0.05
0,0,0,A,39,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,US,False,0,0.04
0,0,0,B,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,US,False,0,0.04
0,0,0,C,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,US,False,0,0.04
39,0,0,D,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.03,US,False,0,0.04
0,0,0,A,34,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,US,False,0,0.05
0,0,0,B,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,US,False,0,0.05
0,0,0,C,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,US,False,0,0.05
34,0,0,D,0,FROZEN_CAUSAL_GRAPH_EDGE_INTERVENTION,"[""RESEARCH_CAUSAL_DIAGNOSTIC_ONLY"",""NOT_A_CANDIDATE_RULE""]",0.04,US,False,0,0.05
