adjacent_lower_tolerance,adjacent_upper_tolerance,breakout_anchor_difference,detection_shift,invalidation_anchor_difference,lineage_class,lower_first_detected_index,lower_lifecycle_ordinal,lower_terminal_index,lower_tolerance,market,root_swing_identity_sha256,symbol,terminal_shift,upper_first_detected_index,upper_lifecycle_ordinal,upper_terminal_index,upper_tolerance
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,128,1,129,0.03,CN,sha256:a589c9bf1d2a25d60403fa4dbead20ea491a65d9bcd349615cfdde9f11d91a62,000681.SZ,0,128,1,129,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,898,2,899,0.03,CN,sha256:9a5f71374fffd84036fc7b412375bfb8991679a5f99729d5ba04405fd3f7bf5a,000681.SZ,0,898,3,899,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1474,3,1474,0.03,CN,sha256:402d739f198ea3c90ddf9530fd1a83886b9104e2259f383c494e58dc96c9f01d,000681.SZ,0,1474,5,1474,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1865,4,1873,0.03,CN,sha256:159c0a2ef63553bc4d82e7803a37e6cc1f72b3b6c8b440a782e27e5cd459708e,000681.SZ,0,1865,6,1873,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:f5812598213c437726ee12e55c9b9864edce44b9024fc7ef31cd321c55ef5cd1,000681.SZ,,715,2,716,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:665192fe5d8e51cb3f593717de1494e2554141ee78312593f89e61469c6092bd,000681.SZ,,1019,4,1021,0.04
0.04,0.05,,,,CASCADE_DESCENDANT,128,1,129,0.04,CN,sha256:a589c9bf1d2a25d60403fa4dbead20ea491a65d9bcd349615cfdde9f11d91a62,000681.SZ,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,715,2,716,0.04,CN,sha256:f5812598213c437726ee12e55c9b9864edce44b9024fc7ef31cd321c55ef5cd1,000681.SZ,0,715,2,716,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,898,3,899,0.04,CN,sha256:9a5f71374fffd84036fc7b412375bfb8991679a5f99729d5ba04405fd3f7bf5a,000681.SZ,0,898,3,899,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1019,4,1021,0.04,CN,sha256:665192fe5d8e51cb3f593717de1494e2554141ee78312593f89e61469c6092bd,000681.SZ,0,1019,4,1021,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1474,5,1474,0.04,CN,sha256:402d739f198ea3c90ddf9530fd1a83886b9104e2259f383c494e58dc96c9f01d,000681.SZ,0,1474,5,1474,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1865,6,1873,0.04,CN,sha256:159c0a2ef63553bc4d82e7803a37e6cc1f72b3b6c8b440a782e27e5cd459708e,000681.SZ,0,1865,7,1873,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:6822a392ace5c936306e32feab7b025b9a7d796997eec13814b0bdabecd340bc,000681.SZ,,118,1,128,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:2dfb592f1f1aed2f4df1ec2b0a4b5eb8d4d79e73d51027ae5df1556d8e626ee8,000681.SZ,,1547,6,1565,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:2fcee5248d2b719d790f1e2a55981d4eebf83ab818b7db6fc6cdf33ce04055b9,000681.SZ,,2078,8,2082,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,690,1,697,0.03,CN,sha256:8bd0798e47c1f95ffaad89a23261145346a3bd12bbdbdc343417727f44f2977f,000923.SZ,0,690,1,697,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,792,2,804,0.03,CN,sha256:a2c709ad7747a92c41f34052d09dfbf2d756198baca81adcb7871b2ede7f7b70,000923.SZ,0,792,2,804,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,2049,3,2057,0.03,CN,sha256:e1d7e8b56423cdfe8899e38c44b3e2780d31930744014c89be4a87a8dc0e2959,000923.SZ,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2178,4,2180,0.03,CN,sha256:f14a0f29d51c5191d6a2ee2f7cd68ebc9f5fbb5311b50d17a3696b39b84fa6c4,000923.SZ,0,2178,6,2180,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:68a7481701b487c36a5cb7e84b20937cb146595e1c329402e5dfca2602c97c10,000923.SZ,,1744,3,1748,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:e414f7119f308346893c4286b23ac9cfc82a28c4ffdd2d72f548a447053c866a,000923.SZ,,1986,4,1988,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:fc7a870e7dd4be9877b13cc597fb7c4c89b0645bfa5d4e18b8fc6150e0e05b3b,000923.SZ,,2040,5,2057,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,690,1,697,0.04,CN,sha256:8bd0798e47c1f95ffaad89a23261145346a3bd12bbdbdc343417727f44f2977f,000923.SZ,0,690,2,697,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,792,2,804,0.04,CN,sha256:a2c709ad7747a92c41f34052d09dfbf2d756198baca81adcb7871b2ede7f7b70,000923.SZ,0,792,3,804,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1744,3,1748,0.04,CN,sha256:68a7481701b487c36a5cb7e84b20937cb146595e1c329402e5dfca2602c97c10,000923.SZ,0,1744,4,1748,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1986,4,1988,0.04,CN,sha256:e414f7119f308346893c4286b23ac9cfc82a28c4ffdd2d72f548a447053c866a,000923.SZ,0,1986,5,1988,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2040,5,2057,0.04,CN,sha256:fc7a870e7dd4be9877b13cc597fb7c4c89b0645bfa5d4e18b8fc6150e0e05b3b,000923.SZ,0,2040,6,2057,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2178,6,2180,0.04,CN,sha256:f14a0f29d51c5191d6a2ee2f7cd68ebc9f5fbb5311b50d17a3696b39b84fa6c4,000923.SZ,0,2178,8,2180,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:0e55a00e62488b673320281619858a81c9f72af37440131fc355e383ce8dc57a,000923.SZ,,499,1,522,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:8c40e63ec6d6a2a468d7f25a126777eacb66fcd76c5431c9c79c028d04300607,000923.SZ,,2098,7,2109,0.05
