affected_root_lifecycles,affected_symbols,both_span_contribution,count,high_span_contribution,low_span_contribution,lower_tolerance,market,root_cause,share,threshold_margin_descriptive,threshold_margin_use,upper_tolerance
14,9,0,14,14,0,0.03,CN,HIGH_SPAN_THRESHOLD_CROSSING,0.2978723404255319,"{""lower_high"":{""count"":14,""max"":0.008910505836575926,""median"":0.005863643397299438,""min"":5.4644808743203876e-05},""lower_low"":{""count"":14,""max"":-0.007011494252873455,""median"":-0.023634777609924995,""min"":-0.029655943574746272},""upper_high"":{""count"":14,""max"":-0.0010894941634240762,""median"":-0.004136356602700564,""min"":-0.009945355191256798},""upper_low"":{""count"":14,""max"":-0.017011494252873457,""median"":-0.033634777609925,""min"":-0.03965594357474628}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
27,15,0,27,0,27,0.03,CN,LOW_SPAN_THRESHOLD_CROSSING,0.574468085106383,"{""lower_high"":{""count"":27,""max"":-0.002569338616275448,""median"":-0.01138747884940777,""min"":-0.029236641221373996},""lower_low"":{""count"":27,""max"":0.009727029003168484,""median"":0.005570601711982245,""min"":3.5335689045876834e-05},""upper_high"":{""count"":27,""max"":-0.01256933861627545,""median"":-0.02138747884940777,""min"":-0.039236641221374},""upper_low"":{""count"":27,""max"":-0.0002729709968315175,""median"":-0.0044293982880177565,""min"":-0.009964664310954125}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
6,5,6,6,0,0,0.03,CN,BOTH_SPAN_THRESHOLD_CROSSING,0.1276595744680851,"{""lower_high"":{""count"":6,""max"":0.008461538461538486,""median"":0.0041464216738518155,""min"":0.001645569620253244},""lower_low"":{""count"":6,""max"":0.00793103448275858,""median"":0.0029224600123676538,""min"":0.0006748466257668756},""upper_high"":{""count"":6,""max"":-0.0015384615384615163,""median"":-0.0058535783261481865,""min"":-0.008354430379746758},""upper_low"":{""count"":6,""max"":-0.0020689655172414223,""median"":-0.007077539987632348,""min"":-0.009325153374233126}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
0,0,0,0,0,0,0.03,CN,STRUCTURE_INPUT_DIVERGENCE,0.0,"{""lower_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""lower_low"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_low"":{""count"":0,""max"":null,""median"":null,""min"":null}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
0,0,0,0,0,0,0.03,CN,NEW_SWING_ELIGIBILITY_DIVERGENCE,0.0,"{""lower_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""lower_low"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_low"":{""count"":0,""max"":null,""median"":null,""min"":null}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
0,0,0,0,0,0,0.03,CN,PLATFORM_FIRST_DETECTION_DIVERGENCE,0.0,"{""lower_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""lower_low"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_low"":{""count"":0,""max"":null,""median"":null,""min"":null}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
0,0,0,0,0,0,0.03,CN,FROZEN_BREAKOUT_ANCHOR_DIVERGENCE,0.0,"{""lower_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""lower_low"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_low"":{""count"":0,""max"":null,""median"":null,""min"":null}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
0,0,0,0,0,0,0.03,CN,FROZEN_INVALIDATION_ANCHOR_DIVERGENCE,0.0,"{""lower_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""lower_low"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_low"":{""count"":0,""max"":null,""median"":null,""min"":null}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
0,0,0,0,0,0,0.03,CN,TERMINAL_STATE_DIVERGENCE,0.0,"{""lower_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""lower_low"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_low"":{""count"":0,""max"":null,""median"":null,""min"":null}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
0,0,0,0,0,0,0.03,CN,OTHER_UNCLASSIFIED,0.0,"{""lower_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""lower_low"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_high"":{""count"":0,""max"":null,""median"":null,""min"":null},""upper_low"":{""count"":0,""max"":null,""median"":null,""min"":null}}",DESCRIPTION_ONLY_NOT_TOLERANCE_DESIGN,0.04
