iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Aug 25, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"136,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLTR","PALANTIR TECHNOLOGIES CLASS A","Information Technology","Equity","1,419,187,680.60","10.31","1,419,187,680.60","8,216,220.00","172.73","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","1,323,868,202.96","9.61","1,323,868,202.96","2,692,376.00","491.71","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","1,286,115,319.50","9.34","1,286,115,319.50","3,783,805.00","339.90","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","880,620,995.28","6.40","880,620,995.28","4,750,356.00","185.38","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","785,066,690.43","5.70","785,066,690.43","3,816,747.00","205.69","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","769,496,099.68","5.59","769,496,099.68","5,315,668.00","144.76","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","616,137,452.00","4.47","616,137,452.00","4,851,476.00","127.00","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","520,858,880.00","3.78","520,858,880.00","1,901,500.00","273.92","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","465,051,170.48","3.38","465,051,170.48","1,300,988.00","357.46","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","450,152,348.10","3.27","450,152,348.10","2,929,535.00","153.66","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","430,642,241.40","3.13","430,642,241.40","1,297,506.00","331.90","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS","Information Technology","Equity","368,398,686.47","2.68","368,398,686.47","901,193.00","408.79","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CLASS A","Communication","Equity","356,783,443.02","2.59","356,783,443.02","1,148,913.00","310.54","United States","NASDAQ","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","347,027,295.54","2.52","347,027,295.54","1,556,246.00","222.99","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK","Information Technology","Equity","249,533,173.25","1.81","249,533,173.25","993,325.00","251.21","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","197,367,519.14","1.43","197,367,519.14","1,556,158.00","126.83","United States","NASDAQ","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES","Information Technology","Equity","196,220,951.82","1.43","196,220,951.82","474,686.00","413.37","United States","NASDAQ","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE","Communication","Equity","190,731,003.62","1.39","190,731,003.62","818,834.00","232.93","United States","NASDAQ","USD","1.00","USD","-"
"WDAY","WORKDAY CLASS A","Information Technology","Equity","186,302,576.16","1.35","186,302,576.16","958,248.00","194.42","United States","NASDAQ","USD","1.00","USD","-"
"ZM","ZOOM COMMUNICATIONS CLASS A","Information Technology","Equity","126,304,912.20","0.92","126,304,912.20","1,251,535.00","100.92","United States","NASDAQ","USD","1.00","USD","-"
"TEAM","ATLASSIAN CORP CLASS A","Information Technology","Equity","124,885,647.41","0.91","124,885,647.41","750,109.00","166.49","United States","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC","Information Technology","Equity","124,099,499.62","0.90","124,099,499.62","109,133.00","1,137.14","United States","NYSE","USD","1.00","USD","-"
"NTNX","NUTANIX CLASS A","Information Technology","Equity","82,952,997.60","0.60","82,952,997.60","1,248,540.00","66.44","United States","NASDAQ","USD","1.00","USD","-"
"PTC","PTC","Information Technology","Equity","82,182,072.72","0.60","82,182,072.72","543,748.00","151.14","United States","NASDAQ","USD","1.00","USD","-"
"ZS","ZSCALER","Information Technology","Equity","81,587,532.18","0.59","81,587,532.18","484,429.00","168.42","United States","NASDAQ","USD","1.00","USD","-"
"GEN","GEN DIGITAL","Information Technology","Equity","76,053,382.83","0.55","76,053,382.83","2,594,793.00","29.31","United States","NASDAQ","USD","1.00","USD","-"
"GWRE","GUIDEWIRE SOFTWARE","Information Technology","Equity","74,927,113.86","0.54","74,927,113.86","397,829.00","188.34","United States","NYSE","USD","1.00","USD","-"
"U","UNITY SOFTWARE","Information Technology","Equity","73,980,521.23","0.54","73,980,521.23","1,644,377.00","44.99","United States","NYSE","USD","1.00","USD","-"
"RBRK","RUBRIK CLASS A","Information Technology","Equity","70,216,562.85","0.51","70,216,562.85","757,869.00","92.65","United States","NYSE","USD","1.00","USD","-"
"DT","DYNATRACE INC","Information Technology","Equity","69,464,364.15","0.50","69,464,364.15","1,387,345.00","50.07","United States","NYSE","USD","1.00","USD","-"
"TYL","TYLER TECHNOLOGIES","Information Technology","Equity","69,379,091.52","0.50","69,379,091.52","198,192.00","350.06","United States","NYSE","USD","1.00","USD","-"
"IOT","SAMSARA CLASS A","Information Technology","Equity","68,370,730.50","0.50","68,370,730.50","1,746,825.00","39.14","United States","NYSE","USD","1.00","USD","-"
"BMNR","BITMINE IMMERSION TECHNOLOGIES","Information Technology","Equity","66,610,923.20","0.48","66,610,923.20","2,683,760.00","24.82","United States","NYSE","USD","1.00","USD","-"
"TRMB","TRIMBLE INC","Information Technology","Equity","65,103,009.51","0.47","65,103,009.51","1,095,457.00","59.43","United States","NASDAQ","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES","Information Technology","Equity","59,247,553.70","0.43","59,247,553.70","278,027.00","213.10","United States","NASDAQ","USD","1.00","USD","-"
"HUBS","HUBSPOT","Information Technology","Equity","57,367,907.64","0.42","57,367,907.64","241,356.00","237.69","United States","NYSE","USD","1.00","USD","-"
"DOCU","DOCUSIGN","Information Technology","Equity","55,270,174.62","0.40","55,270,174.62","912,953.00","60.54","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","41,968,251.78","0.30","41,968,251.78","121,457.00","345.54","United States","NASDAQ","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","40,382,676.00","0.29","40,382,676.00","472,312.00","85.50","United States","NASDAQ","USD","1.00","USD","-"
"ESTC","ELASTIC","Information Technology","Equity","34,413,853.20","0.25","34,413,853.20","428,033.00","80.40","United States","NYSE","USD","1.00","USD","-"
"AUR","AURORA INNOVATION CLASS A","Information Technology","Equity","34,193,966.28","0.25","34,193,966.28","5,926,164.00","5.77","United States","NASDAQ","USD","1.00","USD","-"
"PATH","UIPATH INC CLASS A","Information Technology","Equity","33,434,437.54","0.24","33,434,437.54","2,006,869.00","16.66","United States","NYSE","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM","Information Technology","Equity","33,345,816.30","0.24","33,345,816.30","1,723,298.00","19.35","United States","NASDAQ","USD","1.00","USD","-"
"PCOR","PROCORE TECHNOLOGIES INC","Information Technology","Equity","33,090,817.43","0.24","33,090,817.43","545,963.00","60.61","United States","NYSE","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS","Information Technology","Equity","32,285,049.00","0.23","32,285,049.00","1,515,730.00","21.30","United States","NASDAQ","USD","1.00","USD","-"
"S","SENTINELONE INC CLASS A","Information Technology","Equity","31,874,595.24","0.23","31,874,595.24","1,569,404.00","20.31","United States","NYSE","USD","1.00","USD","-"
