iShares Core S&P 500 ETF
Fund Holdings as of,"Aug 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,148,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","68,883,464,056.40","7.80","68,883,464,056.40","323,320,648.00","213.05","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","60,759,522,069.60","6.88","60,759,522,069.60","196,061,704.00","309.90","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","48,759,155,505.04","5.52","48,759,155,505.04","99,162,424.00","491.71","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","34,113,542,720.34","3.86","34,113,542,720.34","130,673,189.00","261.06","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","27,157,972,715.04","3.07","27,157,972,715.04","78,274,074.00","346.96","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","22,547,085,666.42","2.55","22,547,085,666.42","63,203,133.00","356.74","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","21,662,246,244.64","2.45","21,662,246,244.64","63,092,696.00","343.34","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","16,711,242,629.90","1.89","16,711,242,629.90","29,315,398.00","570.05","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","14,045,874,545.64","1.59","14,045,874,545.64","15,055,012.00","932.97","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","13,162,837,015.50","1.49","13,162,837,015.50","37,581,262.00","350.25","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","13,027,484,142.48","1.47","13,027,484,142.48","10,560,028.00","1,233.66","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","12,758,505,247.30","1.44","12,758,505,247.30","35,769,170.00","356.69","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","12,342,392,307.20","1.40","12,342,392,307.20","24,473,335.00","504.32","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","10,430,335,498.18","1.18","10,430,335,498.18","21,767,051.00","479.18","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","8,888,326,218.24","1.01","8,888,326,218.24","55,330,716.00","160.64","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","8,777,039,515.86","0.99","8,777,039,515.86","32,133,849.00","273.14","United States","NYSE","USD","1.00","USD","-"
"V","VISA CLASS A","Financials","Equity","8,510,882,531.06","0.96","8,510,882,531.06","22,155,679.00","384.14","United States","NYSE","USD","1.00","USD","-"
